step,q1,q2,q3,q4,q5
0,174.174270,22.967986,-85.352191,-71.041372,0.0
1,174.174270,22.967986,-85.352191,-71.041372,0.0
2,174.174270,22.967986,-85.352191,-71.041372,0.0
3,174.174270,22.967986,-85.352191,-71.041372,0.0
4,174.174270,22.967986,-85.352191,-71.041372,0.0
5,174.174270,22.967986,-85.352191,-71.041372,0.0
6,174.174270,22.967986,-85.352191,-71.041372,0.0
7,174.174270,22.967986,-85.352191,-71.041372,0.0
8,174.174270,22.967986,-85.352191,-71.041372,0.0
9,174.174270,22.967986,-85.352191,-71.041372,0.0
10,174.174270,22.967986,-85.352191,-71.041372,0.0
11,174.174270,22.967986,-85.352191,-71.041372,0.0
12,174.174270,22.967986,-85.352191,-71.041372,0.0
13,174.174270,22.967986,-85.352191,-71.041372,0.0
14,174.174270,22.967986,-85.352191,-71.041372,0.0
15,174.174270,22.967986,-85.352191,-71.041372,0.0
16,174.174270,22.967986,-85.352191,-71.041372,0.0
17,174.174270,22.967986,-85.352191,-71.041372,0.0
18,174.174270,22.967986,-85.352191,-71.041372,0.0
19,174.174270,22.967986,-85.352191,-71.041372,0.0
20,174.174270,22.967986,-85.352191,-71.041372,0.0
21,174.174270,22.967986,-85.352191,-71.041372,0.0
22,174.174270,22.967986,-85.352191,-71.041372,0.0
23,174.174270,22.967986,-85.352191,-71.041372,0.0
24,174.174270,22.967986,-85.352191,-71.041372,0.0
25,174.174270,22.967986,-85.352191,-71.041372,0.0
26,174.174270,22.967986,-85.352191,-71.041372,0.0
27,174.174270,22.967986,-85.352191,-71.041372,0.0
28,174.174270,22.967986,-85.352191,-71.041372,0.0
29,174.174270,22.967986,-85.352191,-71.041372,0.0
30,174.174270,22.967986,-85.352191,-71.041372,0.0
31,174.174270,22.967986,-85.352191,-71.041372,0.0
32,174.174270,22.967986,-85.352191,-71.041372,0.0
33,174.174270,22.967986,-85.352191,-71.041372,0.0
34,174.174270,22.967986,-85.352191,-71.041372,0.0
35,174.174270,22.967986,-85.352191,-71.041372,0.0
36,174.174270,22.967986,-85.352191,-71.041372,0.0
37,174.174270,22.967986,-85.352191,-71.041372,0.0
38,174.174270,22.967986,-85.352191,-71.041372,0.0
39,174.174270,22.967986,-85.352191,-71.041372,0.0
40,174.174270,22.967986,-85.352191,-71.041372,0.0
41,174.174270,22.967986,-85.352191,-71.041372,0.0
42,174.174270,22.967986,-85.352191,-71.041372,0.0
43,174.174270,22.967986,-85.352191,-71.041372,0.0
44,174.174270,22.967986,-85.352191,-71.041372,0.0
45,174.174270,22.967986,-85.352191,-71.041372,0.0
46,174.174270,22.967986,-85.352191,-71.041372,0.0
47,174.174270,22.967986,-85.352191,-71.041372,0.0
48,174.174270,22.967986,-85.352191,-71.041372,0.0
49,174.174270,22.967986,-85.352191,-71.041372,0.0
50,174.174270,22.967986,-85.352191,-71.041372,0.0
51,174.174270,22.967986,-85.352191,-71.041372,0.0
52,174.174270,22.967986,-85.352191,-71.041372,0.0
53,174.174270,22.967986,-85.352191,-71.041372,0.0
54,174.174270,22.967986,-85.352191,-71.041372,0.0
55,174.174270,22.967986,-85.352191,-71.041372,0.0
56,174.174270,22.967986,-85.352191,-71.041372,0.0
57,174.174270,22.967986,-85.352191,-71.041372,0.0
58,174.174270,22.967986,-85.352191,-71.041372,0.0
59,174.174270,22.967986,-85.352191,-71.041372,0.0
60,174.174270,22.967986,-85.352191,-71.041372,0.0
61,174.174270,22.967986,-85.352191,-71.041372,0.0
62,174.174270,22.967986,-85.352191,-71.041372,0.0
63,174.174270,22.967986,-85.352191,-71.041372,0.0
64,174.174270,22.967986,-85.352191,-71.041372,0.0
65,174.174270,22.967986,-85.352191,-71.041372,0.0
66,174.174270,22.967986,-85.352191,-71.041372,0.0
67,174.174270,22.967986,-85.352191,-71.041372,0.0
68,174.174270,22.967986,-85.352190,-71.041372,0.0
69,174.174270,22.967985,-85.352190,-71.041372,0.0
70,174.174270,22.967985,-85.352190,-71.041373,0.0
71,174.174270,22.967985,-85.352187,-71.041376,0.0
72,174.174270,22.967983,-85.352177,-71.041388,0.0
