Step,q1,q2,q3,q4,q5
0,0.1828,-58.63,47.88,71.33,0.4380
0.0086,0.1827,-58.63,47.88,71.33,0.4380
0.016,0.1810,-58.61,47.72,71.49,0.4344
0.116,0.1765,-58.57,47.33,71.91,0.4234
0.216,0.1691,-58.49,46.66,72.79,0.4060
0.316,0.1589,-58.36,45.79,73.75,0.3825
0.416,0.1457,-58.22,44.69,75.08,0.3515
0.516,0.1298,-58.00,43.27,76.66,0.3142
0.616,0.1110,-57.82,41.59,78.63,0.2700
0.716,0.0895,-57.57,39.70,80.78,0.2190
0.816,0.0680,-57.32,37.82,82.88,0.1690
0.916,0.0495,-57.06,36.19,84.79,0.1254
1.016,0.0337,-56.88,34.82,86.45,0.0885
1.116,0.0209,-56.77,33.68,87.66,0.0583
1.216,0.0109,-56.63,32.86,88.60,0.0348
1.316,0.0038,-56.53,32.19,89.36,0.0181
1.416,-0.000479,-56.52,31.83,89.84,0.0081
1.516,-0.0019,-56.49,31.69,89.94,0.0047
