step,q1,q2,q3,q4,q5
0,0.003139,0.005114,0.000533,-0.006637,0.0
1,0.024570,0.007566,-0.008183,-0.017578,0.0
2,0.071157,0.012895,-0.027128,-0.041362,0.0
3,0.143793,0.021204,-0.056668,-0.078445,0.0
4,0.242899,0.032542,-0.096972,-0.129042,0.0
5,0.367884,0.046839,-0.147801,-0.192850,0.0
6,0.519321,0.064163,-0.209387,-0.270164,0.0
7,0.696518,0.084433,-0.281449,-0.360628,0.0
8,0.898983,0.107594,-0.363787,-0.463993,0.0
9,1.128930,0.133899,-0.457302,-0.581388,0.0
10,1.384895,0.163180,-0.561398,-0.712066,0.0
11,1.665707,0.195303,-0.675598,-0.855429,0.0
12,1.973971,0.230567,-0.800962,-1.012807,0.0
13,2.307773,0.268752,-0.936712,-1.183224,0.0
14,2.667116,0.309859,-1.082849,-1.366679,0.0
15,3.052888,0.353990,-1.239734,-1.563628,0.0
16,3.464853,0.401116,-1.407271,-1.773949,0.0
17,3.903011,0.451239,-1.585461,-1.997642,0.0
18,4.367420,0.504365,-1.774326,-2.234737,0.0
19,4.858046,0.560490,-1.973853,-2.485217,0.0
20,5.373751,0.619484,-2.183579,-2.748500,0.0
21,5.914642,0.681359,-2.403548,-3.024642,0.0
22,6.484916,0.746596,-2.635466,-3.315784,0.0
23,7.079127,0.814570,-2.877119,-3.619147,0.0
24,7.700146,0.885612,-3.129674,-3.936197,0.0
25,8.346978,0.959606,-3.392726,-4.266424,0.0
26,9.019636,1.036554,-3.666282,-4.609837,0.0
27,9.715416,1.116148,-3.949240,-4.965054,0.0
28,10.442811,1.199358,-4.245056,-5.336412,0.0
29,11.191628,1.285019,-4.549584,-5.718706,0.0
30,11.970281,1.374093,-4.866245,-6.116232,0.0
31,12.773909,1.466023,-5.193063,-6.526509,0.0
32,13.601538,1.560700,-5.529642,-6.949039,0.0
33,14.455751,1.658417,-5.877032,-7.385141,0.0
34,15.340404,1.759617,-6.236801,-7.836784,0.0
35,16.245444,1.863149,-6.604862,-8.298835,0.0
36,17.180349,1.970097,-6.985067,-8.776132,0.0
37,18.140912,2.079981,-7.375707,-9.266530,0.0
38,19.125909,2.192659,-7.776284,-9.769401,0.0
39,20.136306,2.308243,-8.187191,-10.285240,0.0
40,21.168730,2.426347,-8.607055,-10.812324,0.0
41,22.240109,2.548907,-9.042762,-11.359296,0.0
42,23.328797,2.673447,-9.485508,-11.915105,0.0
43,24.446449,2.801301,-9.940033,-12.485701,0.0
44,25.587566,2.931839,-10.404101,-13.068276,0.0
45,26.755995,3.065501,-10.879275,-13.664795,0.0
46,27.950872,3.202189,-11.365206,-14.274817,0.0
47,29.169392,3.341581,-11.860752,-14.896909,0.0
48,30.414412,3.484005,-12.367074,-15.532530,0.0
49,31.689905,3.629915,-12.885790,-16.183709,0.0
50,32.989531,3.778585,-13.414320,-16.847208,0.0
51,34.314209,3.930121,-13.953038,-17.523497,0.0
52,35.663920,4.084521,-14.501936,-18.212566,0.0
53,37.038563,4.241773,-15.060973,-18.914363,0.0
54,38.442897,4.402421,-15.632086,-19.631319,0.0
55,39.867851,4.565429,-16.211584,-20.358803,0.0
56,41.328345,4.732502,-16.805535,-21.104430,0.0
57,42.809957,4.901990,-17.408075,-21.860838,0.0
58,44.317090,5.074398,-18.020993,-22.630276,0.0
59,45.848691,5.249606,-18.643862,-23.412206,0.0
60,47.403892,5.427512,-19.276328,-24.206184,0.0
61,48.991827,5.609164,-19.922107,-25.016873,0.0
62,50.606543,5.793879,-20.578777,-25.841236,0.0
63,52.238584,5.980576,-21.242493,-26.674443,0.0
64,53.904556,6.171154,-21.920008,-27.524973,0.0
65,55.593430,6.364353,-22.606836,-28.387195,0.0
66,57.312191,6.560970,-23.305819,-29.264676,0.0
67,59.041027,6.758740,-24.008900,-30.147300,0.0
68,60.770918,6.956630,-24.712409,-31.030463,0.0
69,62.494702,7.153822,-25.413435,-31.910508,0.0
70,64.222246,7.351444,-26.115989,-32.792472,0.0
71,65.955072,7.549670,-26.820692,-33.677134,0.0
72,67.683751,7.747422,-27.523709,-34.559678,0.0
73,69.405700,7.944404,-28.223988,-35.438785,0.0
74,71.139098,8.142696,-28.928924,-36.323739,0.0
75,72.870265,8.340732,-29.632952,-37.207553,0.0
76,74.593274,8.537835,-30.333663,-38.087202,0.0
77,76.321338,8.735517,-31.036429,-38.969432,0.0
78,78.056097,8.933964,-31.741918,-39.855080,0.0
79,79.778903,9.131044,-32.442546,-40.734626,0.0
80,81.511361,9.329228,-33.147099,-41.619099,0.0
81,83.238809,9.526839,-33.849615,-42.501015,0.0
82,84.970865,9.724977,-34.554004,-43.385283,0.0
83,86.691217,9.921777,-35.253634,-44.263576,0.0
