step,q1,q2,q3,q4,q5
0,58.394040,14.361088,-30.663270,-89.948814,0.0
1,58.394039,14.363006,-30.671594,-89.948814,0.0
2,58.394037,14.366508,-30.686791,-89.948815,0.0
3,58.394035,14.371641,-30.709067,-89.948817,0.0
4,58.394032,14.378426,-30.738508,-89.948819,0.0
5,58.394028,14.387003,-30.775729,-89.948821,0.0
6,58.394023,14.397235,-30.820133,-89.948825,0.0
7,58.394017,14.409170,-30.871929,-89.948828,0.0
8,58.394010,14.422742,-30.930824,-89.948832,0.0
9,58.394003,14.438106,-30.997498,-89.948837,0.0
10,58.393995,14.455021,-31.070903,-89.948842,0.0
11,58.393986,14.473738,-31.152128,-89.948848,0.0
12,58.393976,14.494195,-31.240902,-89.948854,0.0
13,58.393965,14.516281,-31.336745,-89.948860,0.0
14,58.393954,14.540102,-31.440122,-89.948867,0.0
15,58.393942,14.565597,-31.550759,-89.948875,0.0
16,58.393929,14.592660,-31.668204,-89.948883,0.0
17,58.393915,14.621523,-31.793455,-89.948892,0.0
18,58.393900,14.652113,-31.926207,-89.948901,0.0
19,58.393885,14.684279,-32.065792,-89.948911,0.0
20,58.393869,14.718254,-32.213232,-89.948921,0.0
21,58.393852,14.753774,-32.367373,-89.948932,0.0
22,58.393834,14.791231,-32.529922,-89.948943,0.0
23,58.393815,14.830076,-32.698494,-89.948955,0.0
24,58.393795,14.870840,-32.875394,-89.948967,0.0
25,58.393775,14.913118,-33.058864,-89.948980,0.0
26,58.393754,14.957368,-33.250893,-89.948993,0.0
27,58.393732,15.003165,-33.449632,-89.949007,0.0
28,58.393709,15.050510,-33.655093,-89.949021,0.0
29,58.393685,15.099751,-33.868778,-89.949036,0.0
30,58.393661,15.150315,-34.088205,-89.949051,0.0
31,58.393636,15.203082,-34.317197,-89.949067,0.0
32,58.393610,15.257200,-34.552045,-89.949083,0.0
33,58.393583,15.313237,-34.795223,-89.949100,0.0
34,58.393555,15.370689,-35.044544,-89.949117,0.0
35,58.393527,15.430126,-35.302475,-89.949135,0.0
36,58.393498,15.491064,-35.566925,-89.949153,0.0
37,58.393468,15.553660,-35.838566,-89.949172,0.0
38,58.393437,15.618084,-36.118142,-89.949191,0.0
39,58.393405,15.684022,-36.404287,-89.949211,0.0
40,58.393373,15.751944,-36.699041,-89.949232,0.0
41,58.393339,15.821414,-37.000516,-89.949253,0.0
42,58.393305,15.892550,-37.309215,-89.949274,0.0
43,58.393270,15.965371,-37.625231,-89.949296,0.0
44,58.393234,16.039538,-37.947089,-89.949318,0.0
45,58.393198,16.115993,-38.278872,-89.949341,0.0
46,58.393161,16.193551,-38.615442,-89.949364,0.0
47,58.393122,16.273409,-38.961995,-89.949388,0.0
48,58.393083,16.354750,-39.314982,-89.949413,0.0
49,58.393044,16.437439,-39.673822,-89.949438,0.0
50,58.393003,16.522436,-40.042675,-89.949463,0.0
51,58.392961,16.608858,-40.417714,-89.949489,0.0
52,58.392919,16.696876,-40.799675,-89.949516,0.0
53,58.392876,16.786400,-41.188177,-89.949543,0.0
54,58.392832,16.877530,-41.583644,-89.949570,0.0
55,58.392787,16.971003,-41.989282,-89.949598,0.0
56,58.392742,17.065930,-42.401227,-89.949627,0.0
57,58.392696,17.162293,-42.819405,-89.949655,0.0
58,58.392649,17.260271,-43.244589,-89.949685,0.0
59,58.392601,17.360273,-43.678558,-89.949715,0.0
60,58.392552,17.461358,-44.117231,-89.949745,0.0
61,58.392502,17.565159,-44.567685,-89.949777,0.0
62,58.392452,17.670237,-45.023682,-89.949808,0.0
63,58.392401,17.776717,-45.485764,-89.949840,0.0
64,58.392349,17.884993,-45.955642,-89.949873,0.0
65,58.392296,17.994847,-46.432363,-89.949906,0.0
66,58.392243,18.106248,-46.915800,-89.949939,0.0
67,58.392188,18.219730,-47.408269,-89.949973,0.0
68,58.392133,18.335073,-47.908811,-89.950008,0.0
69,58.392077,18.451421,-48.413716,-89.950043,0.0
70,58.392022,18.566986,-48.915222,-89.950078,0.0
71,58.391967,18.681476,-49.412064,-89.950112,0.0
72,58.391912,18.794368,-49.901971,-89.950146,0.0
73,58.391859,18.905305,-50.383397,-89.950179,0.0
74,58.391807,19.014537,-50.857419,-89.950212,0.0
75,58.391755,19.122057,-51.324014,-89.950244,0.0
76,58.391705,19.227586,-51.781968,-89.950276,0.0
77,58.391655,19.331473,-52.232797,-89.950307,0.0
78,58.391606,19.434017,-52.677798,-89.950338,0.0
79,58.391557,19.535152,-53.116685,-89.950369,0.0
80,58.391509,19.634120,-53.546170,-89.950398,0.0
81,58.391463,19.731303,-53.967902,-89.950428,0.0
82,58.391417,19.827130,-54.383755,-89.950456,0.0
83,58.391372,19.921154,-54.791782,-89.950485,0.0
84,58.391327,20.013622,-55.193057,-89.950512,0.0
85,58.391284,20.104265,-55.586413,-89.950540,0.0
86,58.391241,20.193191,-55.972316,-89.950566,0.0
87,58.391199,20.280273,-56.350218,-89.950592,0.0
88,58.391158,20.365929,-56.721933,-89.950618,0.0
89,58.391118,20.449799,-57.085894,-89.950643,0.0
90,58.391079,20.531243,-57.439330,-89.950668,0.0
91,58.391040,20.611885,-57.789283,-89.950692,0.0
92,58.391002,20.690902,-58.132189,-89.950716,0.0
93,58.390965,20.768009,-58.466802,-89.950739,0.0
94,58.390929,20.843572,-58.794716,-89.950762,0.0
95,58.390894,20.916920,-59.113017,-89.950784,0.0
96,58.390859,20.989120,-59.426339,-89.950806,0.0
97,58.390825,21.059461,-59.731590,-89.950827,0.0
98,58.390793,21.128077,-60.029358,-89.950847,0.0
99,58.390760,21.195224,-60.320748,-89.950867,0.0
100,58.390729,21.259807,-60.601014,-89.950887,0.0
101,58.390699,21.323720,-60.878370,-89.950906,0.0
102,58.390669,21.385870,-61.148076,-89.950925,0.0
103,58.390640,21.446097,-61.409439,-89.950943,0.0
104,58.390612,21.504589,-61.663274,-89.950960,0.0
105,58.390585,21.561087,-61.908451,-89.950977,0.0
106,58.390558,21.616300,-62.148053,-89.950994,0.0
107,58.390533,21.669853,-62.380454,-89.951010,0.0
108,58.390508,21.721598,-62.605008,-89.951026,0.0
109,58.390484,21.771632,-62.822133,-89.951041,0.0
110,58.390461,21.819969,-63.031899,-89.951055,0.0
111,58.390438,21.866614,-63.234317,-89.951069,0.0
112,58.390417,21.911565,-63.429388,-89.951083,0.0
113,58.390396,21.954826,-63.617123,-89.951096,0.0
114,58.390376,21.996397,-63.797527,-89.951108,0.0
115,58.390357,22.036279,-63.970599,-89.951120,0.0
116,58.390338,22.074470,-64.136332,-89.951132,0.0
117,58.390321,22.110968,-64.294720,-89.951143,0.0
118,58.390304,22.145657,-64.445255,-89.951153,0.0
119,58.390288,22.178866,-64.589370,-89.951163,0.0
120,58.390273,22.210192,-64.725313,-89.951172,0.0
121,58.390259,22.240025,-64.854778,-89.951181,0.0
122,58.390246,22.267911,-64.975792,-89.951190,0.0
123,58.390233,22.294411,-65.090792,-89.951198,0.0
124,58.390221,22.319098,-65.197923,-89.951205,0.0
125,58.390210,22.341958,-65.297126,-89.951212,0.0
126,58.390200,22.363191,-65.389267,-89.951218,0.0
127,58.390190,22.382724,-65.474036,-89.951224,0.0
128,58.390182,22.400655,-65.551849,-89.951230,0.0
129,58.390174,22.416944,-65.622535,-89.951235,0.0
130,58.390167,22.431539,-65.685873,-89.951239,0.0
131,58.390161,22.444342,-65.741434,-89.951243,0.0
132,58.390156,22.455503,-65.789869,-89.951246,0.0
133,58.390151,22.464907,-65.830676,-89.951249,0.0
134,58.390147,22.472659,-65.864318,-89.951251,0.0
135,58.390144,22.478757,-65.890780,-89.951253,0.0
136,58.390142,22.483126,-65.909738,-89.951254,0.0
137,58.390141,22.485804,-65.921362,-89.951255,0.0
138,58.390140,22.486846,-65.925883,-89.951256,0.0
139,58.390140,22.487052,-65.926776,-89.951256,0.0
140,58.390140,22.487090,-65.926942,-89.951256,0.0
141,58.390140,22.487097,-65.926973,-89.951256,0.0
142,58.390140,22.487098,-65.926978,-89.951256,0.0
143,58.390140,22.487099,-65.926979,-89.951256,0.0
144,58.390140,22.487099,-65.926979,-89.951256,0.0
145,58.390140,22.487099,-65.926980,-89.951256,0.0
146,58.390140,22.487099,-65.926980,-89.951256,0.0
147,58.390140,22.487099,-65.926980,-89.951256,0.0
148,58.390140,22.487099,-65.926980,-89.951256,0.0
149,58.390140,22.487099,-65.926980,-89.951256,0.0
150,58.390140,22.487099,-65.926980,-89.951256,0.0
151,58.390140,22.487099,-65.926980,-89.951256,0.0
152,58.390140,22.487099,-65.926980,-89.951256,0.0
153,58.390140,22.487099,-65.926980,-89.951256,0.0
