step,q1,q2,q3,q4,q5
0,174.172129,20.094294,-68.993409,-89.951492,0.001776
1,174.156152,20.093502,-68.988261,-89.951492,0.001776
2,174.122835,20.091852,-68.977527,-89.951492,0.001775
3,174.071658,20.089318,-68.961038,-89.951493,0.001775
4,174.002212,20.085879,-68.938662,-89.951493,0.001774
5,173.915041,20.081562,-68.910576,-89.951494,0.001773
6,173.809436,20.076333,-68.876550,-89.951495,0.001772
7,173.686024,20.070221,-68.836787,-89.951496,0.001770
8,173.544917,20.063234,-68.791323,-89.951497,0.001769
9,173.385208,20.055325,-68.739864,-89.951499,0.001767
10,173.208451,20.046572,-68.682914,-89.951500,0.001765
11,173.012479,20.036867,-68.619772,-89.951502,0.001763
12,172.799468,20.026318,-68.551140,-89.951504,0.001761
13,172.568169,20.014864,-68.476616,-89.951506,0.001758
14,172.319531,20.002552,-68.396505,-89.951508,0.001756
15,172.052754,19.989341,-68.310550,-89.951510,0.001753
16,171.765831,19.975132,-68.218104,-89.951513,0.001750
17,171.462580,19.960115,-68.120397,-89.951515,0.001746
18,171.142055,19.944242,-68.017124,-89.951518,0.001743
19,170.802189,19.927412,-67.907620,-89.951521,0.001739
20,170.445454,19.909746,-67.792680,-89.951524,0.001735
21,170.069263,19.891117,-67.671472,-89.951527,0.001731
22,169.676948,19.871689,-67.545069,-89.951531,0.001727
23,169.266744,19.851375,-67.412902,-89.951534,0.001723
24,168.835738,19.830032,-67.274032,-89.951538,0.001718
25,168.389489,19.807933,-67.130252,-89.951542,0.001713
26,167.924501,19.784907,-66.980433,-89.951546,0.001708
27,167.441927,19.761009,-66.824949,-89.951550,0.001703
28,166.939048,19.736106,-66.662922,-89.951554,0.001697
29,166.420101,19.710408,-66.495718,-89.951559,0.001692
30,165.882465,19.683784,-66.322492,-89.951563,0.001686
31,165.329311,19.656391,-66.144267,-89.951568,0.001680
32,164.753592,19.627881,-65.958771,-89.951573,0.001674
33,164.164433,19.598705,-65.768945,-89.951578,0.001667
34,163.553611,19.568457,-65.572139,-89.951583,0.001661
35,162.926326,19.537394,-65.370029,-89.951589,0.001654
36,162.281643,19.505468,-65.162313,-89.951594,0.001647
37,161.617667,19.472588,-64.948381,-89.951600,0.001640
