Step,q1,q2,q3,q4,q5
0,-180.0,5.06,10.38,0.0,0.0
1,-179.97,5.06,10.38,-0.01,0.0
2,-179.89,5.07,10.37,-0.03,0.0
3,-179.76,5.09,10.35,-0.06,0.0
4,-179.57,5.12,10.32,-0.11,0.0
5,-179.34,5.15,10.29,-0.17,0.0
6,-179.05,5.19,10.25,-0.24,0.0
7,-178.71,5.24,10.21,-0.32,0.0
8,-178.32,5.3,10.16,-0.42,0.0
9,-177.88,5.36,10.1,-0.53,0.0
10,-177.39,5.43,10.04,-0.65,0.0
11,-176.85,5.51,9.97,-0.79,0.0
12,-176.27,5.59,9.89,-0.93,0.0
13,-175.63,5.68,9.81,-1.09,0.0
14,-174.95,5.78,9.72,-1.26,0.0
15,-174.23,5.88,9.62,-1.44,0.0
16,-173.46,5.99,9.52,-1.64,0.0
17,-172.64,6.11,9.41,-1.84,0.0
18,-171.78,6.24,9.3,-2.06,0.0
19,-170.87,6.37,9.18,-2.28,0.0
20,-169.92,6.5,9.06,-2.52,0.0
21,-168.93,6.64,8.93,-2.77,0.0
22,-167.89,6.79,8.79,-3.03,0.0
23,-166.81,6.95,8.65,-3.3,0.0
24,-165.69,7.11,8.5,-3.58,0.0
25,-164.53,7.27,8.35,-3.87,0.0
26,-163.33,7.45,8.19,-4.17,0.0
27,-162.09,7.63,8.03,-4.48,0.0
28,-160.81,7.81,7.86,-4.8,0.0
29,-159.49,8.0,7.69,-5.13,0.0
30,-158.13,8.19,7.51,-5.47,0.0
31,-156.73,8.39,7.33,-5.82,0.0
32,-155.3,8.6,7.14,-6.17,0.0
33,-153.83,8.81,6.95,-6.54,0.0
34,-152.33,9.03,6.75,-6.92,0.0
35,-150.78,9.25,6.55,-7.3,0.0
36,-149.21,9.47,6.34,-7.7,0.0
37,-147.6,9.7,6.13,-8.1,0.0
38,-145.95,9.94,5.92,-8.51,0.0
39,-144.27,10.18,5.7,-8.93,0.0
40,-142.56,10.43,5.47,-9.36,0.0
41,-140.82,10.68,5.24,-9.8,0.0
42,-139.04,10.93,5.01,-10.24,0.0
43,-137.23,11.19,4.77,-10.69,0.0
44,-135.39,11.45,4.53,-11.15,0.0
45,-133.53,11.72,4.29,-11.62,0.0
46,-131.63,11.99,4.04,-12.09,0.0
47,-129.7,12.27,3.79,-12.57,0.0
48,-127.75,12.55,3.53,-13.06,0.0
49,-125.76,12.84,3.27,-13.56,0.0
50,-123.75,13.12,3.01,-14.06,0.0
51,-121.71,13.42,2.74,-14.57,0.0
52,-119.65,13.71,2.47,-15.09,0.0
53,-117.56,14.01,2.19,-15.61,0.0
54,-115.44,14.32,1.92,-16.14,0.0
55,-113.3,14.62,1.63,-16.68,0.0
56,-111.13,14.93,1.35,-17.22,0.0
57,-108.94,15.25,1.06,-17.76,0.0
58,-106.73,15.57,0.77,-18.32,0.0
59,-104.5,15.89,0.48,-18.88,0.0
60,-102.24,16.21,0.19,-19.44,0.0
61,-99.96,16.54,-0.11,-20.01,0.0
62,-97.66,16.87,-0.42,-20.58,0.0
63,-95.34,17.2,-0.72,-21.16,0.0
64,-93.0,17.53,-1.03,-21.75,0.0
65,-90.64,17.87,-1.34,-22.34,0.0
66,-88.26,18.21,-1.65,-22.93,0.0
67,-85.87,18.56,-1.96,-23.53,0.0
68,-83.45,18.9,-2.28,-24.14,0.0
69,-81.02,19.25,-2.6,-24.75,0.0
70,-78.57,19.6,-2.92,-25.36,0.0
71,-76.11,19.96,-3.24,-25.97,0.0
72,-73.62,20.31,-3.57,-26.59,0.0
73,-71.13,20.67,-3.89,-27.22,0.0
74,-68.62,21.03,-4.22,-27.85,0.0
75,-66.09,21.39,-4.55,-28.48,0.0
76,-63.56,21.76,-4.89,-29.11,0.0
77,-61.0,22.12,-5.22,-29.75,0.0
78,-58.44,22.49,-5.56,-30.39,0.0
79,-55.87,22.86,-5.89,-31.03,0.0
80,-53.28,23.23,-6.23,-31.68,0.0
81,-50.68,23.61,-6.57,-32.33,0.0
82,-48.08,23.98,-6.92,-32.98,0.0
83,-45.46,24.35,-7.26,-33.64,0.0
84,-42.83,24.73,-7.6,-34.29,0.0
85,-40.2,25.11,-7.95,-34.95,0.0
86,-37.55,25.49,-8.3,-35.61,0.0
87,-34.9,25.87,-8.64,-36.27,0.0
88,-32.24,26.25,-8.99,-36.94,0.0
89,-29.58,26.63,-9.34,-37.6,0.0
90,-26.91,27.02,-9.69,-38.27,0.0
91,-24.23,27.4,-10.04,-38.94,0.0
92,-21.55,27.78,-10.39,-39.61,0.0
93,-18.87,28.17,-10.74,-40.28,0.0
94,-16.18,28.55,-11.1,-40.95,0.0
95,-13.49,28.94,-11.45,-41.63,0.0
96,-10.79,29.33,-11.8,-42.3,0.0
97,-8.1,29.71,-12.16,-42.98,0.0
98,-5.4,30.1,-12.51,-43.65,0.0
99,-2.7,30.49,-12.86,-44.33,0.0
100,-0.0,30.87,-13.22,-45.0,0.0
101,2.7,31.26,-13.57,-45.67,0.0
102,5.4,31.65,-13.93,-46.35,0.0
103,8.1,32.04,-14.28,-47.02,0.0
104,10.79,32.42,-14.63,-47.7,0.0
105,13.49,32.81,-14.99,-48.37,0.0
106,16.18,33.2,-15.34,-49.05,0.0
107,18.87,33.58,-15.69,-49.72,0.0
108,21.55,33.97,-16.04,-50.39,0.0
109,24.23,34.35,-16.4,-51.06,0.0
110,26.91,34.73,-16.75,-51.73,0.0
111,29.58,35.12,-17.1,-52.4,0.0
112,32.24,35.5,-17.45,-53.06,0.0
