Step,q1,q2,q3,q4,q5
0,-180.0,56.69,-36.82,-90.0,0.0
1,-180.0,56.69,-36.81,-89.99,0.0
2,-180.0,56.66,-36.8,-89.95,0.0
3,-180.0,56.62,-36.77,-89.88,0.0
4,-180.0,56.56,-36.73,-89.79,0.0
5,-180.0,56.48,-36.68,-89.67,0.0
6,-180.0,56.39,-36.62,-89.52,0.0
7,-180.0,56.29,-36.55,-89.35,0.0
8,-180.0,56.16,-36.47,-89.16,0.0
9,-180.0,56.03,-36.38,-88.94,0.0
10,-180.0,55.87,-36.28,-88.7,0.0
11,-180.0,55.7,-36.17,-88.43,0.0
12,-180.0,55.52,-36.05,-88.13,0.0
13,-180.0,55.32,-35.92,-87.82,0.0
14,-180.0,55.1,-35.79,-87.48,0.0
15,-180.0,54.88,-35.64,-87.11,0.0
16,-180.0,54.63,-35.48,-86.73,0.0
17,-180.0,54.38,-35.31,-86.32,0.0
18,-180.0,54.1,-35.14,-85.89,0.0
19,-180.0,53.82,-34.95,-85.44,0.0
20,-180.0,53.52,-34.76,-84.96,0.0
21,-180.0,53.21,-34.55,-84.46,0.0
22,-180.0,52.88,-34.34,-83.95,0.0
23,-180.0,52.54,-34.12,-83.41,0.0
24,-180.0,52.19,-33.89,-82.85,0.0
25,-180.0,51.82,-33.65,-82.27,0.0
26,-180.0,51.44,-33.41,-81.66,0.0
27,-180.0,51.05,-33.15,-81.04,0.0
28,-180.0,50.65,-32.89,-80.4,0.0
29,-180.0,50.23,-32.62,-79.74,0.0
30,-180.0,49.81,-32.34,-79.07,0.0
31,-180.0,49.37,-32.06,-78.37,0.0
32,-180.0,48.91,-31.77,-77.65,0.0
33,-180.0,48.45,-31.47,-76.92,0.0
34,-180.0,47.98,-31.16,-76.16,0.0
35,-180.0,47.49,-30.84,-75.39,0.0
36,-180.0,46.99,-30.52,-74.6,0.0
37,-180.0,46.49,-30.19,-73.8,0.0
38,-180.0,45.97,-29.85,-72.98,0.0
39,-180.0,45.44,-29.51,-72.14,0.0
40,-180.0,44.9,-29.16,-71.28,0.0
41,-180.0,44.35,-28.8,-70.41,0.0
42,-180.0,43.79,-28.44,-69.52,0.0
43,-180.0,43.22,-28.07,-68.62,0.0
44,-180.0,42.64,-27.7,-67.7,0.0
45,-180.0,42.06,-27.31,-66.76,0.0
46,-180.0,41.46,-26.93,-65.81,0.0
47,-180.0,40.85,-26.53,-64.85,0.0
48,-180.0,40.23,-26.13,-63.87,0.0
49,-180.0,39.61,-25.73,-62.88,0.0
50,-180.0,38.98,-25.31,-61.87,0.0
51,-180.0,38.33,-24.9,-60.86,0.0
52,-180.0,37.68,-24.48,-59.82,0.0
53,-180.0,37.02,-24.05,-58.78,0.0
54,-180.0,36.36,-23.62,-57.72,0.0
55,-180.0,35.68,-23.18,-56.65,0.0
56,-180.0,35.0,-22.73,-55.57,0.0
57,-180.0,34.31,-22.29,-54.47,0.0
58,-180.0,33.62,-21.83,-53.37,0.0
59,-180.0,32.91,-21.38,-52.25,0.0
60,-180.0,32.2,-20.92,-51.12,0.0
61,-180.0,31.48,-20.45,-49.98,0.0
62,-180.0,30.76,-19.98,-48.83,0.0
63,-180.0,30.03,-19.51,-47.67,0.0
64,-180.0,29.29,-19.03,-46.5,0.0
65,-180.0,28.55,-18.54,-45.32,0.0
66,-180.0,27.8,-18.06,-44.13,0.0
67,-180.0,27.04,-17.57,-42.93,0.0
68,-180.0,26.28,-17.07,-41.73,0.0
69,-180.0,25.52,-16.58,-40.51,0.0
70,-180.0,24.74,-16.08,-39.29,0.0
71,-180.0,23.97,-15.57,-38.05,0.0
72,-180.0,23.19,-15.06,-36.81,0.0
73,-180.0,22.4,-14.55,-35.56,0.0
74,-180.0,21.61,-14.04,-34.31,0.0
75,-180.0,20.81,-13.52,-33.05,0.0
76,-180.0,20.02,-13.01,-31.78,0.0
77,-180.0,19.21,-12.48,-30.5,0.0
78,-180.0,18.4,-11.96,-29.22,0.0
79,-180.0,17.59,-11.43,-27.93,0.0
80,-180.0,16.78,-10.9,-26.64,0.0
81,-180.0,15.96,-10.37,-25.34,0.0
82,-180.0,15.14,-9.84,-24.04,0.0
83,-180.0,14.31,-9.3,-22.73,0.0
84,-180.0,13.49,-8.77,-21.42,0.0
85,-180.0,12.66,-8.23,-20.1,0.0
86,-180.0,11.82,-7.69,-18.78,0.0
87,-180.0,10.99,-7.15,-17.45,0.0
88,-180.0,10.15,-6.6,-16.12,0.0
89,-180.0,9.31,-6.06,-14.79,0.0
90,-180.0,8.47,-5.51,-13.46,0.0
91,-180.0,7.63,-4.96,-12.12,0.0
92,-180.0,6.79,-4.42,-10.78,0.0
93,-180.0,5.94,-3.87,-9.43,0.0
94,-180.0,5.09,-3.32,-8.09,0.0
95,-180.0,4.24,-2.77,-6.74,0.0
96,-180.0,3.4,-2.22,-5.4,0.0
97,-180.0,2.55,-1.67,-4.05,0.0
98,-180.0,1.7,-1.11,-2.7,0.0
99,-180.0,0.85,-0.56,-1.35,0.0
100,-180.0,-0.0,-0.01,0.0,0.0
101,-180.0,-0.85,0.54,1.35,0.0
102,-180.0,-1.7,1.09,2.7,0.0
103,-180.0,-2.55,1.65,4.05,0.0
104,-180.0,-3.4,2.2,5.4,0.0
105,-180.0,-4.25,2.75,6.74,0.0
106,-180.0,-5.1,3.3,8.09,0.0
107,-180.0,-5.95,3.85,9.43,0.0
108,-180.0,-6.79,4.4,10.78,0.0
109,-180.0,-7.64,4.95,12.12,0.0
110,-180.0,-8.48,5.49,13.45,0.0
111,-180.0,-9.32,6.04,14.79,0.0
112,-180.0,-10.16,6.58,16.12,0.0
113,-180.0,-11.0,7.13,17.45,0.0
114,-180.0,-11.83,7.67,18.78,0.0
115,-180.0,-12.67,8.21,20.1,0.0
116,-180.0,-13.5,8.75,21.42,0.0
117,-180.0,-14.32,9.29,22.73,0.0
118,-180.0,-15.15,9.82,24.04,0.0
119,-180.0,-15.97,10.35,25.34,0.0
120,-180.0,-16.79,10.89,26.64,0.0
121,-180.0,-17.6,11.41,27.93,0.0
122,-180.0,-18.41,11.94,29.22,0.0
123,-180.0,-19.22,12.47,30.5,0.0
124,-180.0,-20.02,12.99,31.78,0.0
125,-180.0,-20.82,13.51,33.05,0.0
126,-180.0,-21.62,14.02,34.31,0.0
127,-180.0,-22.41,14.54,35.56,0.0
128,-180.0,-23.19,15.05,36.81,0.0
129,-180.0,-23.98,15.55,38.05,0.0
130,-180.0,-24.75,16.06,39.28,0.0
131,-180.0,-25.52,16.56,40.51,0.0
132,-180.0,-26.29,17.06,41.73,0.0
133,-180.0,-27.05,17.55,42.93,0.0
134,-180.0,-27.81,18.04,44.13,0.0
135,-180.0,-28.56,18.53,45.32,0.0
136,-180.0,-29.3,19.01,46.5,0.0
137,-180.0,-30.04,19.49,47.67,0.0
138,-180.0,-30.77,19.96,48.83,0.0
139,-180.0,-31.49,20.43,49.98,0.0
140,-180.0,-32.21,20.9,51.12,0.0
141,-180.0,-32.92,21.36,52.25,0.0
142,-180.0,-33.62,21.82,53.37,0.0
143,-180.0,-34.32,22.27,54.47,0.0
144,-180.0,-35.01,22.72,55.57,0.0
145,-180.0,-35.69,23.16,56.65,0.0
146,-180.0,-36.37,23.6,57.72,0.0
147,-180.0,-37.03,24.03,58.78,0.0
148,-180.0,-37.69,24.46,59.82,0.0
149,-180.0,-38.34,24.88,60.86,0.0
150,-180.0,-38.98,25.3,61.87,0.0
151,-180.0,-39.62,25.71,62.88,0.0
152,-180.0,-40.24,26.11,63.87,0.0
153,-180.0,-40.86,26.51,64.85,0.0
154,-180.0,-41.47,26.91,65.81,0.0
155,-180.0,-42.06,27.3,66.76,0.0
156,-180.0,-42.65,27.68,67.7,0.0
157,-180.0,-43.23,28.05,68.62,0.0
158,-180.0,-43.8,28.42,69.52,0.0
159,-180.0,-44.36,28.79,70.41,0.0
160,-180.0,-44.91,29.14,71.28,0.0
161,-180.0,-45.45,29.49,72.14,0.0
162,-180.0,-45.98,29.84,72.98,0.0
163,-180.0,-46.5,30.17,73.8,0.0
164,-180.0,-47.0,30.5,74.6,0.0
165,-180.0,-47.5,30.82,75.39,0.0
166,-180.0,-47.98,31.14,76.16,0.0
167,-180.0,-48.46,31.45,76.92,0.0
168,-180.0,-48.92,31.75,77.65,0.0
169,-180.0,-49.37,32.04,78.37,0.0
170,-180.0,-49.81,32.33,79.06,0.0
171,-180.0,-50.24,32.6,79.74,0.0
172,-180.0,-50.66,32.87,80.4,0.0
173,-180.0,-51.06,33.14,81.04,0.0
174,-180.0,-51.45,33.39,81.66,0.0
175,-180.0,-51.83,33.64,82.27,0.0
176,-180.0,-52.2,33.87,82.85,0.0
177,-180.0,-52.55,34.1,83.41,0.0
178,-180.0,-52.89,34.32,83.95,0.0
179,-180.0,-53.21,34.53,84.46,0.0
180,-180.0,-53.53,34.74,84.96,0.0
181,-180.0,-53.83,34.93,85.44,0.0
182,-180.0,-54.11,35.12,85.89,0.0
183,-180.0,-54.38,35.29,86.32,0.0
184,-180.0,-54.64,35.46,86.73,0.0
185,-180.0,-54.88,35.62,87.11,0.0
186,-180.0,-55.11,35.77,87.48,0.0
187,-180.0,-55.33,35.91,87.82,0.0
188,-180.0,-55.53,36.04,88.13,0.0
189,-180.0,-55.71,36.16,88.43,0.0
190,-180.0,-55.88,36.27,88.69,0.0
191,-180.0,-56.03,36.36,88.94,0.0
192,-180.0,-56.17,36.45,89.16,0.0
193,-180.0,-56.3,36.53,89.35,0.0
194,-180.0,-56.4,36.6,89.52,0.0
195,-180.0,-56.49,36.66,89.67,0.0
196,-180.0,-56.57,36.71,89.79,0.0
197,-180.0,-56.63,36.75,89.88,0.0
198,-180.0,-56.67,36.78,89.95,0.0
199,-180.0,-56.69,36.79,89.99,0.0
200,-180.0,-56.7,36.8,90.0,0.0
