Step,q1,q2,q3,q4,q5
0,41.53,5.2,8.19,-0.66,0.0
1,41.54,5.2,8.18,-0.67,0.0
2,41.57,5.21,8.17,-0.69,0.0
3,41.62,5.22,8.13,-0.71,0.0
4,41.69,5.23,8.09,-0.75,0.0
5,41.78,5.25,8.04,-0.79,0.0
6,41.89,5.27,7.97,-0.85,0.0
7,42.02,5.29,7.89,-0.92,0.0
8,42.17,5.32,7.8,-0.99,0.0
9,42.34,5.35,7.7,-1.08,0.0
10,42.53,5.38,7.58,-1.17,0.0
11,42.74,5.42,7.46,-1.28,0.0
12,42.96,5.46,7.32,-1.39,0.0
13,43.2,5.5,7.18,-1.52,0.0
14,43.47,5.55,7.02,-1.65,0.0
15,43.74,5.6,6.85,-1.79,0.0
16,44.04,5.66,6.67,-1.94,0.0
17,44.36,5.71,6.48,-2.1,0.0
18,44.69,5.77,6.28,-2.27,0.0
19,45.04,5.84,6.07,-2.45,0.0
20,45.4,5.9,5.85,-2.63,0.0
21,45.78,5.97,5.62,-2.83,0.0
22,46.18,6.04,5.38,-3.03,0.0
23,46.6,6.12,5.13,-3.24,0.0
24,47.03,6.2,4.87,-3.46,0.0
25,47.48,6.28,4.6,-3.68,0.0
26,47.94,6.36,4.32,-3.92,0.0
27,48.41,6.45,4.04,-4.16,0.0
28,48.91,6.54,3.74,-4.41,0.0
29,49.41,6.63,3.43,-4.67,0.0
30,49.94,6.73,3.12,-4.93,0.0
31,50.47,6.82,2.8,-5.2,0.0
32,51.03,6.92,2.46,-5.48,0.0
33,51.59,7.03,2.12,-5.77,0.0
34,52.17,7.13,1.77,-6.06,0.0
35,52.76,7.24,1.42,-6.36,0.0
36,53.37,7.35,1.05,-6.67,0.0
37,53.99,7.46,0.68,-6.99,0.0
38,54.62,7.58,0.29,-7.31,0.0
39,55.27,7.69,-0.09,-7.63,0.0
40,55.93,7.81,-0.49,-7.97,0.0
41,56.6,7.94,-0.9,-8.31,0.0
42,57.28,8.06,-1.31,-8.66,0.0
43,57.98,8.19,-1.73,-9.01,0.0
44,58.68,8.31,-2.15,-9.37,0.0
45,59.4,8.45,-2.59,-9.73,0.0
46,60.13,8.58,-3.03,-10.1,0.0
47,60.87,8.71,-3.47,-10.48,0.0
48,61.62,8.85,-3.93,-10.86,0.0
49,62.39,8.99,-4.39,-11.25,0.0
50,63.16,9.13,-4.85,-11.64,0.0
51,63.95,9.27,-5.33,-12.04,0.0
52,64.74,9.41,-5.8,-12.44,0.0
53,65.54,9.56,-6.29,-12.85,0.0
54,66.36,9.71,-6.78,-13.26,0.0
55,67.18,9.86,-7.28,-13.68,0.0
56,68.01,10.01,-7.78,-14.1,0.0
57,68.86,10.16,-8.29,-14.53,0.0
58,69.71,10.32,-8.8,-14.96,0.0
59,70.57,10.47,-9.32,-15.39,0.0
60,71.44,10.63,-9.84,-15.83,0.0
61,72.31,10.79,-10.37,-16.28,0.0
62,73.2,10.95,-10.9,-16.73,0.0
63,74.09,11.11,-11.44,-17.18,0.0
64,74.99,11.28,-11.98,-17.64,0.0
65,75.9,11.44,-12.53,-18.1,0.0
66,76.81,11.61,-13.08,-18.56,0.0
67,77.73,11.77,-13.64,-19.03,0.0
68,78.66,11.94,-14.2,-19.5,0.0
69,79.6,12.11,-14.76,-19.97,0.0
70,80.54,12.28,-15.33,-20.45,0.0
71,81.49,12.46,-15.9,-20.93,0.0
72,82.44,12.63,-16.48,-21.42,0.0
