Step,q1,q2,q3,q4,q5
0,-180.0,-56.7,36.8,90.0,0.0
1,-180.0,-56.7,36.8,89.99,0.0
2,-180.0,-56.68,36.79,89.97,0.0
3,-180.0,-56.66,36.78,89.94,0.0
4,-180.0,-56.63,36.77,89.89,0.0
5,-180.0,-56.59,36.75,89.83,0.0
6,-180.0,-56.54,36.73,89.76,0.0
7,-180.0,-56.48,36.7,89.68,0.0
8,-180.0,-56.41,36.68,89.58,0.0
9,-180.0,-56.34,36.64,89.47,0.0
10,-180.0,-56.25,36.61,89.35,0.0
11,-180.0,-56.16,36.57,89.21,0.0
12,-180.0,-56.06,36.52,89.07,0.0
13,-180.0,-55.95,36.48,88.91,0.0
14,-180.0,-55.84,36.43,88.74,0.0
15,-180.0,-55.71,36.38,88.56,0.0
16,-180.0,-55.58,36.32,88.36,0.0
17,-180.0,-55.44,36.26,88.16,0.0
18,-180.0,-55.29,36.2,87.94,0.0
19,-180.0,-55.14,36.13,87.72,0.0
20,-180.0,-54.97,36.06,87.48,0.0
21,-180.0,-54.8,35.99,87.23,0.0
22,-180.0,-54.62,35.91,86.97,0.0
23,-180.0,-54.44,35.83,86.7,0.0
24,-180.0,-54.25,35.75,86.42,0.0
25,-180.0,-54.05,35.66,86.13,0.0
26,-180.0,-53.84,35.58,85.83,0.0
27,-180.0,-53.63,35.48,85.52,0.0
28,-180.0,-53.41,35.39,85.2,0.0
29,-180.0,-53.18,35.29,84.87,0.0
30,-180.0,-52.95,35.19,84.53,0.0
31,-180.0,-52.71,35.09,84.18,0.0
32,-180.0,-52.47,34.99,83.83,0.0
33,-180.0,-52.21,34.88,83.46,0.0
34,-180.0,-51.95,34.77,83.08,0.0
35,-180.0,-51.69,34.65,82.7,0.0
36,-180.0,-51.42,34.54,82.3,0.0
37,-180.0,-51.14,34.42,81.9,0.0
38,-180.0,-50.86,34.3,81.49,0.0
39,-180.0,-50.57,34.18,81.07,0.0
40,-180.0,-50.28,34.05,80.64,0.0
41,-180.0,-49.98,33.92,80.2,0.0
