Step,q1,q2,q3,q4,q5
0,180.0,30.35,-75.29,-70.9,0.0
1,180.0,30.34,-75.28,-70.88,0.0
2,180.0,30.32,-75.26,-70.85,0.0
3,180.0,30.28,-75.23,-70.79,0.0
4,180.0,30.23,-75.18,-70.71,0.0
5,180.0,30.17,-75.12,-70.6,0.0
6,180.0,30.09,-75.05,-70.47,0.0
7,180.0,29.99,-74.96,-70.32,0.0
8,180.0,29.89,-74.87,-70.14,0.0
9,180.0,29.77,-74.76,-69.95,0.0
10,180.0,29.64,-74.63,-69.73,0.0
11,180.0,29.49,-74.5,-69.49,0.0
12,180.0,29.33,-74.35,-69.23,0.0
13,180.0,29.16,-74.19,-68.94,0.0
14,180.0,28.97,-74.02,-68.64,0.0
15,180.0,28.77,-73.84,-68.32,0.0
16,180.0,28.56,-73.65,-67.97,0.0
17,180.0,28.34,-73.44,-67.61,0.0
18,180.0,28.1,-73.23,-67.22,0.0
19,180.0,27.86,-73.0,-66.82,0.0
20,180.0,27.6,-72.76,-66.39,0.0
21,180.0,27.33,-72.51,-65.95,0.0
22,180.0,27.04,-72.25,-65.48,0.0
23,180.0,26.75,-71.98,-65.0,0.0
24,180.0,26.44,-71.7,-64.5,0.0
25,180.0,26.13,-71.41,-63.98,0.0
26,180.0,25.8,-71.11,-63.45,0.0
27,180.0,25.46,-70.8,-62.89,0.0
28,180.0,25.11,-70.48,-62.32,0.0
29,180.0,24.75,-70.15,-61.73,0.0
30,180.0,24.38,-69.81,-61.12,0.0
31,180.0,24.0,-69.46,-60.5,0.0
32,180.0,23.61,-69.1,-59.86,0.0
33,180.0,23.21,-68.73,-59.2,0.0
34,180.0,22.8,-68.36,-58.53,0.0
35,180.0,22.38,-67.97,-57.84,0.0
36,180.0,21.95,-67.58,-57.13,0.0
37,180.0,21.51,-67.17,-56.41,0.0
38,180.0,21.06,-66.76,-55.68,0.0
39,180.0,20.6,-66.34,-54.93,0.0
40,180.0,20.13,-65.91,-54.16,0.0
41,180.0,19.66,-65.47,-53.38,0.0
42,180.0,19.17,-65.03,-52.59,0.0
43,180.0,18.68,-64.58,-51.78,0.0
44,180.0,18.18,-64.12,-50.96,0.0
45,180.0,17.67,-63.65,-50.13,0.0
46,180.0,17.15,-63.17,-49.28,0.0
47,180.0,16.63,-62.69,-48.42,0.0
48,180.0,16.09,-62.2,-47.54,0.0
49,180.0,15.55,-61.71,-46.65,0.0
50,180.0,15.0,-61.2,-45.76,0.0
51,180.0,14.45,-60.69,-44.84,0.0
52,180.0,13.88,-60.17,-43.92,0.0
53,180.0,13.31,-59.65,-42.99,0.0
54,180.0,12.74,-59.12,-42.04,0.0
55,180.0,12.15,-58.58,-41.08,0.0
56,180.0,11.56,-58.04,-40.12,0.0
57,180.0,10.96,-57.49,-39.14,0.0
58,180.0,10.36,-56.94,-38.15,0.0
59,180.0,9.75,-56.38,-37.15,0.0
60,180.0,9.14,-55.82,-36.14,0.0
61,180.0,8.51,-55.25,-35.12,0.0
62,180.0,7.89,-54.67,-34.1,0.0
63,180.0,7.25,-54.09,-33.06,0.0
64,180.0,6.62,-53.5,-32.01,0.0
65,180.0,5.97,-52.91,-30.96,0.0
66,180.0,5.32,-52.32,-29.9,0.0
67,180.0,4.67,-51.72,-28.82,0.0
68,180.0,4.01,-51.11,-27.74,0.0
69,180.0,3.35,-50.5,-26.66,0.0
70,180.0,2.68,-49.89,-25.56,0.0
71,180.0,2.01,-49.27,-24.46,0.0
72,180.0,1.33,-48.65,-23.35,0.0
73,180.0,0.65,-48.03,-22.24,0.0
74,180.0,-0.04,-47.4,-21.12,0.0
75,180.0,-0.72,-46.77,-19.99,0.0
76,180.0,-1.42,-46.13,-18.85,0.0
77,180.0,-2.11,-45.49,-17.71,0.0
78,180.0,-2.81,-44.85,-16.57,0.0
79,180.0,-3.51,-44.2,-15.42,0.0
80,180.0,-4.22,-43.56,-14.26,0.0
81,180.0,-4.93,-42.91,-13.1,0.0
82,180.0,-5.64,-42.25,-11.93,0.0
83,180.0,-6.35,-41.6,-10.76,0.0
84,180.0,-7.07,-40.94,-9.59,0.0
85,180.0,-7.79,-40.28,-8.41,0.0
86,180.0,-8.51,-39.62,-7.23,0.0
87,180.0,-9.23,-38.95,-6.05,0.0
88,180.0,-9.96,-38.29,-4.86,0.0
89,180.0,-10.68,-37.62,-3.67,0.0
90,180.0,-11.41,-36.95,-2.47,0.0
91,180.0,-12.14,-36.28,-1.28,0.0
92,180.0,-12.87,-35.61,-0.08,0.0
93,180.0,-13.61,-34.94,1.12,0.0
94,180.0,-14.34,-34.27,2.32,0.0
95,180.0,-15.07,-33.59,3.52,0.0
96,180.0,-15.81,-32.92,4.73,0.0
97,180.0,-16.54,-32.24,5.93,0.0
98,180.0,-17.28,-31.57,7.14,0.0
99,180.0,-18.02,-30.89,8.35,0.0
100,180.0,-18.75,-30.22,9.55,0.0
101,180.0,-19.49,-29.54,10.76,0.0
102,180.0,-20.23,-28.86,11.97,0.0
103,180.0,-20.96,-28.19,13.17,0.0
104,180.0,-21.7,-27.51,14.38,0.0
105,180.0,-22.43,-26.84,15.58,0.0
106,180.0,-23.17,-26.16,16.78,0.0
107,180.0,-23.9,-25.49,17.99,0.0
108,180.0,-24.63,-24.82,19.19,0.0
109,180.0,-25.36,-24.15,20.38,0.0
110,180.0,-26.09,-23.48,21.58,0.0
111,180.0,-26.82,-22.81,22.77,0.0
112,180.0,-27.55,-22.14,23.96,0.0
113,180.0,-28.27,-21.48,25.15,0.0
